Date,Index,Open,High,Low,Close,Adj Close,Volume,Market Closed,Adj Close Moving Average 10,Adj Close Moving Average 21
2019-03-08,NYA,12364.69043,12418.29004,12336.49023,12415.12988,12415.12988,3423130000.0,False,12595.03857375,12595.03857375
2019-03-09,NYA,12364.69043,12418.29004,12336.49023,12415.12988,12415.12988,3423130000.0,True,12575.04871888889,12575.04871888889
2019-03-10,NYA,12364.69043,12418.29004,12336.49023,12415.12988,12415.12988,3423130000.0,True,12559.056835,12559.056835
2019-03-11,NYA,12429.88965,12563.98047,12429.88965,12561.25977,12561.25977,3749030000.0,False,12545.11582,12559.25710181818
2019-03-12,NYA,12576.75977,12611.46973,12571.04004,12582.80957,12582.80957,3414230000.0,False,12533.329785,12561.2198075
2019-03-13,NYA,12621.69043,12704.84961,12621.69043,12674.25977,12674.25977,3766150000.0,False,12530.68877,12569.91518923077
2019-03-14,NYA,12668.78027,12685.38965,12637.44043,12660.16016,12660.16016,3469730000.0,False,12532.977833,12576.361258571429
2019-03-15,NYA,12679.08008,12749.57031,12677.75977,12715.76953,12715.76953,5962730000.0,False,12542.107812999999,12585.655143333333
2019-03-16,NYA,12679.08008,12749.57031,12677.75977,12715.76953,12715.76953,5962730000.0,True,12559.884766,12593.787292500001
2019-03-17,NYA,12679.08008,12749.57031,12677.75977,12715.76953,12715.76953,5962730000.0,True,12587.11875,12600.962718235294
2019-03-18,NYA,12732.26953,12786.79004,12726.46973,12781.41016,12781.41016,3552190000.0,False,12623.746778,12610.98757611111
2019-03-19,NYA,12826.12012,12854.82031,12728.96973,12760.79004,12760.79004,3620220000.0,False,12658.312794,12618.87191631579
2019-03-20,NYA,12749.61035,12789.37988,12658.25977,12700.25,12700.25,3771200000.0,False,12686.824806,12622.9408205
2019-03-21,NYA,12658.96973,12803.4502,12657.62988,12782.54004,12782.54004,3546800000.0,False,12708.952833,12630.540783333334
2019-03-22,NYA,12709.26953,12716.87012,12533.29004,12539.41016,12539.41016,4237200000.0,False,12704.612892000001,12622.861747142855
2019-03-23,NYA,12709.26953,12716.87012,12533.29004,12539.41016,12539.41016,4237200000.0,True,12691.127930999999,12615.18271095238
2019-03-24,NYA,12709.26953,12716.87012,12533.29004,12539.41016,12539.41016,4237200000.0,True,12679.052931,12607.503674761905
2019-03-25,NYA,12526.49023,12590.16992,12486.05957,12535.67969,12535.67969,3376580000.0,False,12661.043947,12602.666063333332
2019-03-26,NYA,12598.4502,12672.73047,12578.87012,12641.36035,12641.36035,3266050000.0,False,12653.603029,12603.470378571428
2019-03-27,NYA,12635.25,12662.5,12520.2002,12591.71973,12591.71973,3372930000.0,False,12641.198048999999,12606.02846095238
2019-03-28,NYA,12601.20996,12641.07031,12555.83008,12632.58008,12632.58008,3158170000.0,False,12626.315041,12615.03562238095
2019-03-29,NYA,12691.76953,12704.58984,12644.48047,12696.87988,12696.87988,3740700000.0,False,12619.924025,12628.452289047618
2019-03-30,NYA,12691.76953,12704.58984,12644.48047,12696.87988,12696.87988,3740700000.0,True,12619.587013,12641.868955714288
2019-03-31,NYA,12691.76953,12704.58984,12644.48047,12696.87988,12696.87988,3740700000.0,True,12611.020997,12655.28562238095
2019-04-01,NYA,12775.83984,12843.9502,12773.53027,12836.03027,12836.03027,3500760000.0,False,12640.683008,12668.369931904763
2019-04-02,NYA,12840.44043,12841.82031,12784.70996,12819.04981,12819.04981,3246900000.0,False,12668.646972999999,12679.619467142858
2019-04-03,NYA,12819.05957,12882.57031,12803.87012,12833.59961,12833.59961,3550240000.0,False,12698.065918,12687.207078571428
2019-04-04,NYA,12833.32031,12872.49023,12818.83008,12868.74023,12868.74023,3015180000.0,False,12731.371972,12697.139462857142
2019-04-05,NYA,12889.37012,12927.90039,12880.19043,12927.71973,12927.71973,3146820000.0,False,12760.00791,12707.23232952381
2019-04-06,NYA,12889.37012,12927.90039,12880.19043,12927.71973,12927.71973,3146820000.0,True,12793.607909999999,12717.325196190477
2019-04-07,NYA,12889.37012,12927.90039,12880.19043,12927.71973,12927.71973,3146820000.0,True,12823.121875,12727.418062857141
2019-04-08,NYA,12927.73047,12943.34961,12888.87012,12943.33984,12943.33984,3054030000.0,False,12847.767871,12735.128999999999
2019-04-09,NYA,12892.04981,12892.04981,12834.4502,12849.70996,12849.70996,3007980000.0,False,12863.050879,12739.363281904762
2019-04-10,NYA,12867.33984,12898.26953,12852.87988,12887.36035,12887.36035,3062380000.0,False,12882.098926,12748.27329857143
2019-04-11,NYA,12892.62012,12910.40039,12856.24023,12887.12012,12887.12012,2938540000.0,False,12887.207911,12753.253302380952
2019-04-12,NYA,12955.66016,12994.98047,12938.04981,12969.54004,12969.54004,3688490000.0,False,12902.256934000001,12773.735677619048
2019-04-13,NYA,12955.66016,12994.98047,12938.04981,12969.54004,12969.54004,3688490000.0,True,12915.850977,12794.218052857143
2019-04-14,NYA,12955.66016,12994.98047,12938.04981,12969.54004,12969.54004,3688490000.0,True,12925.930958,12814.700428095239
2019-04-15,NYA,12979.26953,12983.25,12936.5,12956.67969,12956.67969,3088330000.0,False,12928.826954,12834.748047142857
2019-04-16,NYA,12986.29981,13002.83984,12934.25,12952.24023,12952.24023,3402210000.0,False,12931.279004,12849.551850952379
2019-04-17,NYA,12984.33008,12995.59961,12891.44043,12907.11035,12907.11035,3602300000.0,False,12929.218066,12864.570451904761
2019-04-18,NYA,12912.17969,12938.75,12869.84961,12922.70996,12922.70996,3506850000.0,False,12927.155078,12878.386160476191
2019-04-19,NYA,12912.17969,12938.75,12869.84961,12922.70996,12922.70996,3506850000.0,True,12934.455078,12889.139973809524
2019-04-20,NYA,12912.17969,12938.75,12869.84961,12922.70996,12922.70996,3506850000.0,True,12937.990039,12899.893787142857
2019-04-21,NYA,12912.17969,12938.75,12869.84961,12922.70996,12922.70996,3506850000.0,True,12941.549023,12910.64760047619
2019-04-22,NYA,12900.41016,12920.82031,12886.79981,12914.28027,12914.28027,2997950000.0,False,12936.023046,12914.37379095238
2019-04-23,NYA,12916.66992,13010.99023,12910.78027,12993.84961,12993.84961,3635030000.0,False,12938.454002999999,12922.69759095238
2019-04-24,NYA,12993.86035,12993.86035,12938.54981,12951.62988,12951.62988,3448960000.0,False,12936.662987,12928.318080000001
2019-04-25,NYA,12907.08008,12939.86035,12850.12012,12912.95996,12912.95996,3425280000.0,False,12932.291013999999,12930.423781428572
2019-04-26,NYA,12923.66016,12991.29981,12910.87988,12991.2002,12991.2002,3248500000.0,False,12936.187011,12933.446660952379
2019-04-27,NYA,12923.66016,12991.29981,12910.87988,12991.2002,12991.2002,3248500000.0,True,12944.595996,12936.469540476191
2019-04-28,NYA,12923.66016,12991.29981,12910.87988,12991.2002,12991.2002,3248500000.0,True,12951.445020000001,12939.492419999999
2019-04-29,NYA,12992.73047,13037.0,12990.75,13008.05957,13008.05957,3118780000.0,False,12959.979981,12942.574311904762
2019-04-30,NYA,13027.50977,13067.03027,12968.9502,13060.65039,13060.65039,3919330000.0,False,12973.774024,12952.619094285716
2019-05-01,NYA,13066.08008,13069.08984,12944.94043,12946.12988,12946.12988,3645850000.0,False,12976.116016,12955.417643333334
2019-05-02,NYA,12939.04004,12970.65039,12860.61035,12929.55957,12929.55957,3778890000.0,False,12977.643946,12957.43856952381
2019-05-03,NYA,12977.32031,13044.42969,12977.32031,13037.87988,13037.87988,3338120000.0,False,12982.046973,12960.69284761905
2019-05-04,NYA,12977.32031,13044.42969,12977.32031,13037.87988,13037.87988,3338120000.0,True,12990.671973,12963.947125714287
2019-05-05,NYA,12977.32031,13044.42969,12977.32031,13037.87988,13037.87988,3338120000.0,True,13003.163965,12967.201403809522
2019-05-06,NYA,13037.87988,13037.87988,12851.07031,12976.66992,12976.66992,3181520000.0,False,13001.710937,12968.153319523812
2019-05-07,NYA,12883.05957,12883.05957,12703.19043,12778.5,12778.5,3767100000.0,False,12980.440917,12959.879975238096
2019-05-08,NYA,12766.96973,12834.76953,12748.37012,12766.69043,12766.69043,3485790000.0,False,12957.98994,12953.193312380954
2019-05-09,NYA,12673.62012,12750.44043,12591.79004,12731.34961,12731.34961,3638820000.0,False,12930.318944,12944.080914761904
2019-05-10,NYA,12702.07031,12820.2002,12569.83984,12788.13965,12788.13965,3529600000.0,False,12903.06787,12937.672804761905
2019-05-11,NYA,12702.07031,12820.2002,12569.83984,12788.13965,12788.13965,3529600000.0,True,12887.268847,12931.264694761903
2019-05-12,NYA,12702.07031,12820.2002,12569.83984,12788.13965,12788.13965,3529600000.0,True,12873.126854999999,12924.856584761905
2019-05-13,NYA,12617.21973,12617.21973,12480.26953,12526.70996,12526.70996,3894030000.0,False,12822.009863000001,12906.400855714286
2019-05-14,NYA,12560.99023,12686.53027,12559.62012,12620.0,12620.0,3322720000.0,False,12780.221875,12888.598493333333
2019-05-15,NYA,12559.66016,12682.37988,12526.04004,12652.29004,12652.29004,3125950000.0,False,12741.662891,12874.344215238096
2019-05-16,NYA,12676.04981,12800.90039,12676.04981,12738.36035,12738.36035,3338060000.0,False,12717.831934,12866.029948095236
2019-05-17,NYA,12652.38965,12751.08984,12643.07031,12657.62988,12657.62988,3257950000.0,False,12705.744922000002,12850.145647142856
2019-05-18,NYA,12652.38965,12751.08984,12643.07031,12657.62988,12657.62988,3257950000.0,True,12694.838867,12834.261346190478
2019-05-19,NYA,12652.38965,12751.08984,12643.07031,12657.62988,12657.62988,3257950000.0,True,12687.466894000001,12818.377045238096
2019-05-20,NYA,12615.66992,12668.53027,12582.50977,12616.79981,12616.79981,3288870000.0,False,12670.332910000001,12799.745628095237
2019-05-21,NYA,12668.33008,12732.86035,12668.33008,12720.71973,12720.71973,3218700000.0,False,12663.590918,12783.558453809525
2019-05-22,NYA,12682.51953,12703.79981,12651.9502,12671.99023,12671.99023,3192510000.0,False,12651.975976,12770.504184761905
2019-05-23,NYA,12569.33984,12569.33984,12461.34961,12525.0,12525.0,3891980000.0,False,12651.804979999999,12751.239443333334
2019-05-24,NYA,12595.54004,12617.45996,12539.29981,12581.36035,12581.36035,2887390000.0,False,12647.941015,12729.50041809524
2019-05-25,NYA,12595.54004,12617.45996,12539.29981,12581.36035,12581.36035,2887390000.0,True,12640.848046000001,12707.761392857145
2019-05-26,NYA,12595.54004,12617.45996,12539.29981,12581.36035,12581.36035,2887390000.0,True,12625.148046,12686.022367619047
2019-05-27,NYA,12595.54004,12617.45996,12539.29981,12581.36035,12581.36035,2887390000.0,True,12617.521093,12667.198102380953
2019-05-28,NYA,12597.70996,12628.62988,12464.53027,12465.90039,12465.90039,4121410000.0,False,12598.348144,12652.312406666668
2019-05-29,NYA,12398.24023,12405.11035,12309.12988,12386.20996,12386.20996,3700050000.0,False,12571.206152,12634.194289047617
2019-05-30,NYA,12402.54004,12449.28027,12354.79004,12393.66016,12393.66016,3273790000.0,False,12548.892187000001,12618.11383904762
2019-05-31,NYA,12280.78027,12318.45996,12238.40039,12264.49023,12264.49023,3981020000.0,False,12503.269237,12593.178152380951
2019-06-01,NYA,12280.78027,12318.45996,12238.40039,12264.49023,12264.49023,3981020000.0,True,12462.519237,12568.242465714287
2019-06-02,NYA,12280.78027,12318.45996,12238.40039,12264.49023,12264.49023,3981020000.0,True,12436.46826,12543.306779047618
2019-06-03,NYA,12288.50977,12372.82031,12273.08984,12341.82031,12341.82031,3966700000.0,False,12412.514256,12534.50251
2019-06-04,NYA,12341.82031,12564.37012,12341.82031,12560.58008,12560.58008,3810430000.0,False,12410.436229,12531.672990000001
2019-06-05,NYA,12607.34961,12618.21973,12530.15039,12614.7002,12614.7002,3548830000.0,False,12413.770214,12529.882997619046
2019-06-06,NYA,12631.08984,12710.66992,12606.12012,12675.66016,12675.66016,3396410000.0,False,12423.200195,12526.897274285713
2019-06-07,NYA,12725.37988,12814.80957,12725.37988,12765.86035,12765.86035,3220250000.0,False,12453.196190999999,12532.051106190474
2019-06-08,NYA,12725.37988,12814.80957,12725.37988,12765.86035,12765.86035,3220250000.0,True,12491.16123,12537.204938095238
2019-06-09,NYA,12725.37988,12814.80957,12725.37988,12765.86035,12765.86035,3220250000.0,True,12528.381249,12542.35877
2019-06-10,NYA,12821.49023,12859.62988,12798.29004,12802.03027,12802.03027,3209210000.0,False,12582.135253,12551.179268095239
2019-06-11,NYA,12867.16992,12900.76953,12787.49023,12813.91016,12813.91016,3548420000.0,False,12637.077246,12555.616907619047
2019-06-12,NYA,12797.86035,12818.59961,12772.33008,12784.83008,12784.83008,3034130000.0,False,12689.111231,12560.990233809523
2019-06-13,NYA,12816.42969,12841.71973,12788.54004,12827.50977,12827.50977,3069810000.0,False,12737.680176999998,12575.39546095238
2019-06-14,NYA,12808.88965,12813.0,12767.84961,12787.24023,12787.24023,2922330000.0,False,12760.346192,12585.199264761906
2019-06-15,NYA,12808.88965,12813.0,12767.84961,12787.24023,12787.24023,2922330000.0,True,12777.600195,12595.003068571428
2019-06-16,NYA,12808.88965,12813.0,12767.84961,12787.24023,12787.24023,2922330000.0,True,12788.758202,12604.806872380952
2019-06-17,NYA,12789.67969,12808.12012,12769.53027,12775.51953,12775.51953,2810140000.0,False,12789.72412,12614.052547619047
2019-06-18,NYA,12837.46973,12950.79981,12837.46973,12907.45996,12907.45996,3437620000.0,False,12803.884081,12635.079193809524
2019-06-19,NYA,12924.26953,12972.48047,12908.41016,12954.08008,12954.08008,3287890000.0,False,12822.706053999998,12662.120628095237
2019-06-20,NYA,12954.08008,13094.79981,12954.08008,13081.54004,13081.54004,3905940000.0,False,12850.657030999999,12694.876812857143
2019-06-21,NYA,13068.36035,13095.57031,13037.87988,13047.24023,13047.24023,5000120000.0,False,12873.990038,12732.150622380952
2019-06-22,NYA,13068.36035,13095.57031,13037.87988,13047.24023,13047.24023,5000120000.0,True,12900.231053,12769.424431904763
2019-06-23,NYA,13068.36035,13095.57031,13037.87988,13047.24023,13047.24023,5000120000.0,True,12922.204099,12806.698241428572
2019-06-24,NYA,13047.24023,13061.25,13015.91016,13019.98047,13019.98047,3136250000.0,False,12945.478122999999,12838.991582380952
2019-06-25,NYA,13019.98047,13022.73047,12934.90039,12936.65039,12936.65039,3578050000.0,False,12960.419139,12856.899692380954
